Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q,,,
m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,m3/s/m,,,
0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.151,0.000,0.000,0.00,0.000,0.173,0.393,2.175E-06,,,
0.101,1.404,1.170,1.277,0.368,1000,0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.393,1.115E-07,,,
0.116,1.468,1.224,1.335,0.368,1000,0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.393,1.115E-07,,,
0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.150,0.000,0.000,0.00,0.000,0.150,0.393,3.402E-06,,,
0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.142,0.000,0.000,0.00,0.000,0.142,0.393,2.509E-05,,,
0.101,1.404,1.170,1.277,0.368,1000,0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.094,4.461E-07,,,
0.116,1.468,1.224,1.335,0.368,1000,0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.094,2.565E-06,,,
0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.150,0.000,0.000,0.00,0.000,0.150,0.094,6.692E-05,,,
0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.142,0.000,0.000,0.00,0.000,0.142,0.094,1.729E-04,,,
0.073,1.190,0.992,1.082,0.511,,,0.166,0.058,1.046,0.872,0.951,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,,,0.166,0.058,1.046,0.872,0.951,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.067,1.046,0.872,0.951,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.085,1.149,0.958,1.045,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.070,1.108,0.923,1.007,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,51,30,0.166,0.079,1.067,0.889,0.970,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,51,30,0.166,0.064,0.985,0.821,0.895,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,,,0.188,0.053,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,,,0.188,0.053,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
