Rc,Ac,Hm0.deep,Hm0.toe,Tp.deep,Tm.deep,Tm.1.0.deep,q
0.089,0.136,1.518,1.391,1.67,0.22,0.072,4.408E-05
0.096,0.136,2.087,1.913,2.296,0.22,0.072,0.0001805
0.071,0.172,1.518,1.391,1.67,0.22,0.108,4E-07
0.076,0.172,2.087,1.913,2.296,0.22,0.108,4.24E-06
0.109,0.094,1.518,1.391,1.67,0.22,0.03,0.001267
0.119,0.094,2.087,1.913,2.296,0.22,0.03,0.001813
0.119,0.106,2.087,1.913,2.296,0.22,0.03,0.0008479
0.109,0.106,1.518,1.391,1.67,0.22,0.03,0.0004758
0.109,0.106,1.518,1.391,1.67,0.22,0.03,0.0003894
0.119,0.106,2.087,1.913,2.296,0.22,0.03,0.0007202
0.096,0.148,2.087,1.913,2.296,0.22,0.072,5.016E-05
0.096,0.148,2.087,1.913,2.296,0.22,0.072,4.704E-05
0.096,0.148,2.087,1.913,2.296,0.22,0.072,1.12E-05
0.096,0.136,2.087,1.913,2.296,0.22,0.072,5.04E-05
0.119,0.094,2.087,1.913,2.296,0.22,0.03,0.0008835
0.119,0.106,2.087,1.913,2.296,0.22,0.03,0.0004571
0.089,0.136,1.518,1.391,1.67,0.22,0.092,2.424E-05
0.096,0.136,2.087,1.913,2.296,0.22,0.092,0.0001132
0.109,0.094,1.518,1.391,1.67,0.22,0.05,0.0008411
0.119,0.094,2.087,1.913,2.296,0.22,0.05,0.001107
0.056,0.172,2.087,1.913,2.296,0.22,0.172,1.224E-05
0.078,0.136,2.087,1.913,2.296,0.22,0.136,0.0002662
0.078,0.136,2.087,1.913,2.296,0.22,0.136,8.304E-05
0.103,0.094,2.087,1.913,2.296,0.22,0.094,0.0009919
0.103,0.094,2.087,1.913,2.296,0.22,0.094,0.001878
0.059,0.172,2.087,1.913,2.296,0.22,0.108,2.08E-06
0.081,0.136,2.087,1.913,2.296,0.22,0.072,0.0001127
0.081,0.148,2.087,1.913,2.296,0.22,0.072,2.84E-05
0.081,0.148,2.087,1.913,2.296,0.22,0.072,1.4E-05
0.081,0.136,2.087,1.913,2.296,0.22,0.072,5.016E-05
0.106,0.094,2.087,1.913,2.296,0.22,0.03,0.0009064
0.106,0.106,2.087,1.913,2.296,0.22,0.03,0.0004694
0.106,0.106,2.087,1.913,2.296,0.22,0.03,0.000653
0.106,0.094,2.087,1.913,2.296,0.22,0.03,0.001421
0.091,0.058,1.518,1.391,1.67,0.22,0.034,0.0008835
0.102,0.058,2.087,1.913,2.296,0.22,0.034,0.001348
0.068,0.1,1.518,1.391,1.67,0.22,0.076,4.544E-05
0.077,0.1,2.087,1.913,2.296,0.22,0.076,0.0001082
0.034,0.136,2.087,1.913,2.296,0.22,0.112,9.6E-07
0.071,0.1,1.518,1.391,1.67,0.22,0.076,3.04E-05
0.079,0.1,2.087,1.913,2.296,0.22,0.076,0.0001106
0.104,0.058,2.087,1.913,2.296,0.22,0.034,0.001143
0.094,0.058,1.518,1.391,1.67,0.22,0.034,0.0009735
0.094,0.139,1.518,1.391,1.67,0.22,0.034,0.0001987
0.081,0.1,1.518,1.391,1.67,0.22,0.076,9.896E-05
0.089,0.1,2.087,1.913,2.296,0.22,0.076,0.0001848
0.069,0.136,2.087,1.913,2.296,0.22,0.112,3.36E-06
0.102,0.058,1.518,1.391,1.67,0.22,0.034,0.001051
0.112,0.058,2.087,1.913,2.296,0.22,0.034,0.001481
0.08,0.1,1.518,1.391,1.67,0.22,0.076,7.464E-05
0.08,0.181,1.518,1.391,1.67,0.22,0.076,5.68E-06
0.087,0.181,2.087,1.913,2.296,0.22,0.076,2.592E-05
0.087,0.1,2.087,1.913,2.296,0.22,0.076,0.000157
0.101,0.058,1.518,1.391,1.67,0.22,0.034,0.001107
0.101,0.139,1.518,1.391,1.67,0.22,0.034,0.0003013
0.109,0.139,2.087,1.913,2.296,0.22,0.034,0.0004694
0.109,0.058,2.087,1.913,2.296,0.22,0.034,0.001314
0.043,0.212,1.518,1.391,1.67,0.22,0.212,5.8E-05
0.045,0.212,2.087,1.913,2.296,0.22,0.212,0.0001474
0.081,0.17,2.087,1.913,2.296,0.22,0.17,0.001502
0.072,0.17,1.518,1.391,1.67,0.22,0.17,0.001724
0.043,0.172,1.518,1.391,1.67,0.22,0.172,5.2E-06
0.045,0.172,2.087,1.913,2.296,0.22,0.172,1.024E-05
0.072,0.13,1.518,1.391,1.67,0.22,0.13,0.0001093
0.081,0.13,2.087,1.913,2.296,0.22,0.13,0.0002724
0.064,0.172,1.518,1.391,1.67,0.22,0.172,3.36E-06
0.07,0.172,2.087,1.913,2.296,0.22,0.172,1.208E-05
0.086,0.13,1.518,1.391,1.67,0.22,0.13,0.0001404
0.095,0.13,2.087,1.913,2.296,0.22,0.13,0.0002782
0.086,0.13,1.518,1.391,1.67,0.22,0.13,2.168E-05
0.095,0.13,2.087,1.913,2.296,0.22,0.13,6.464E-05
0.151,0.073,2.075,1.902,2.282,0.15,0.057,0.00286
0.275,0.063,2.274,2.084,2.501,0.27,0.047,0.006086
0.133,0.14,1.527,1.4,1.68,0.14,0.123,4.138E-05
0.206,0.14,1.876,1.719,2.063,0.21,0.123,0.001059
