Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q
0.143,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.108,1.231,1.026,1.119,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,0.0
0.143,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.12,1.354,1.129,1.231,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,0.0
0.143,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.105,1.272,1.06,1.157,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,7e-07
0.143,1.457,1.214,1.324,0.549,51.0,30.0,0.204,0.102,1.272,1.06,1.157,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,1.95e-07
0.143,1.457,1.214,1.324,0.549,51.0,30.0,0.204,0.094,1.293,1.077,1.175,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,0.0
0.073,1.149,0.958,1.045,0.511,44.0,0.0,0.166,0.064,1.129,0.94,1.026,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.149,0.958,1.045,0.511,44.0,0.0,0.166,0.079,1.149,0.958,1.045,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.149,0.958,1.045,0.511,44.0,0.0,0.166,0.079,1.129,0.94,1.026,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.149,0.958,1.045,0.511,51.0,45.0,0.166,0.079,1.026,0.855,0.933,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.149,0.958,1.045,0.511,51.0,45.0,0.166,0.079,1.026,0.855,0.933,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
